user_id,block_id,trial_id,starting_x,starting_y,target_x,target_y,angle,distance,rail_length
91640,0,0,-0.95,-15.71,-8.0,-6.0,306,12,16
91640,0,1,-3.91,-7.46,8.0,-6.0,187,12,16
91640,0,2,4.01,-12.28,8.0,-12.0,184,4,16
91640,0,3,1.99,-8.58,-10.0,-9.0,2,12,16
91640,0,4,-1.06,-13.87,8.0,-6.0,221,12,16
91640,0,5,3.88,-12.86,8.0,-6.0,239,8,16
91640,1,6,-0.95,-15.71,-8.0,-6.0,306,12,8
91640,1,7,-3.91,-7.46,8.0,-6.0,187,12,8
91640,1,8,4.01,-12.28,8.0,-12.0,184,4,8
91640,1,9,1.99,-8.58,-10.0,-9.0,2,12,8
91640,1,10,-1.06,-13.87,8.0,-6.0,221,12,8
91640,1,11,3.88,-12.86,8.0,-6.0,239,8,8
91640,2,12,-3.0,-12.88,-10.0,-9.0,331,8,12
91640,2,13,-0.31,-9.79,-8.0,-12.0,16,8,12
91640,2,14,7.48,-5.89,10.0,-9.0,129,4,12
91640,2,15,-10.28,-12.99,-10.0,-9.0,266,4,12
91640,2,16,4.14,-4.96,8.0,-6.0,165,4,12
91640,2,17,3.74,-9.51,-8.0,-12.0,12,12,12
91640,3,18,10.14,-13.0,10.0,-9.0,272,4,8
91640,3,19,-5.12,-8.78,-8.0,-6.0,316,4,8
91640,3,20,-4.68,-14.24,-8.0,-12.0,326,4,8
91640,3,21,-8.97,-4.06,-8.0,-12.0,97,8,8
91640,3,22,0.81,-9.51,8.0,-6.0,206,8,8
91640,3,23,-4.05,-6.63,-8.0,-6.0,351,4,8
91640,4,24,6.12,-16.0,10.0,-9.0,241,8,16
91640,4,25,0.03,-14.92,-8.0,-6.0,312,12,16
91640,4,26,-2.05,-11.35,-8.0,-6.0,318,8,16
91640,4,27,5.88,-15.86,10.0,-9.0,239,8,16
91640,4,28,1.29,-7.64,8.0,-12.0,147,8,16
91640,4,29,-3.2,-7.7,8.0,-12.0,159,12,16
91640,5,30,-3.0,-12.88,-10.0,-9.0,331,8,16
91640,5,31,-0.31,-9.79,-8.0,-12.0,16,8,16
91640,5,32,7.48,-5.89,10.0,-9.0,129,4,16
91640,5,33,-10.28,-12.99,-10.0,-9.0,266,4,16
91640,5,34,4.14,-4.96,8.0,-6.0,165,4,16
91640,5,35,3.74,-9.51,-8.0,-12.0,12,12,16
91640,6,36,6.25,-8.4,8.0,-12.0,116,4,8
91640,6,37,-3.59,-15.11,8.0,-12.0,195,12,8
91640,6,38,-0.79,-14.26,10.0,-9.0,206,12,8
91640,6,39,-6.01,-9.28,-10.0,-9.0,356,4,8
91640,6,40,-9.8,-13.79,-8.0,-6.0,257,8,8
91640,6,41,-0.78,-14.18,8.0,-6.0,223,12,8
91640,7,42,6.12,-16.0,10.0,-9.0,241,8,12
91640,7,43,0.03,-14.92,-8.0,-6.0,312,12,12
91640,7,44,-2.05,-11.35,-8.0,-6.0,318,8,12
91640,7,45,5.88,-15.86,10.0,-9.0,239,8,12
91640,7,46,1.29,-7.64,8.0,-12.0,147,8,12
91640,7,47,-3.2,-7.7,8.0,-12.0,159,12,12
91640,8,48,3.97,-12.84,-8.0,-12.0,356,12,8
91640,8,49,2.15,-6.54,8.0,-12.0,137,8,8
91640,8,50,7.72,-15.99,8.0,-12.0,266,4,8
91640,8,51,-4.2,-7.24,-8.0,-6.0,342,4,8
91640,8,52,-3.7,-4.07,-10.0,-9.0,38,8,8
91640,8,53,4.27,-7.43,8.0,-6.0,201,4,8
91640,9,54,-3.0,-12.88,-10.0,-9.0,331,8,8
91640,9,55,-0.31,-9.79,-8.0,-12.0,16,8,8
91640,9,56,7.48,-5.89,10.0,-9.0,129,4,8
91640,9,57,-10.28,-12.99,-10.0,-9.0,266,4,8
91640,9,58,4.14,-4.96,8.0,-6.0,165,4,8
91640,9,59,3.74,-9.51,-8.0,-12.0,12,12,8
91640,10,60,6.25,-8.4,8.0,-12.0,116,4,16
91640,10,61,-3.59,-15.11,8.0,-12.0,195,12,16
91640,10,62,-0.79,-14.26,10.0,-9.0,206,12,16
91640,10,63,-6.01,-9.28,-10.0,-9.0,356,4,16
91640,10,64,-9.8,-13.79,-8.0,-6.0,257,8,16
91640,10,65,-0.78,-14.18,8.0,-6.0,223,12,16
91640,11,66,1.71,-13.05,-8.0,-6.0,324,12,16
91640,11,67,-6.5,-8.29,-8.0,-12.0,68,4,16
91640,11,68,3.48,-15.51,-8.0,-12.0,343,12,16
91640,11,69,-2.44,-11.75,-8.0,-6.0,314,8,16
91640,11,70,-1.2,-13.3,10.0,-9.0,201,12,16
91640,11,71,9.79,-12.99,10.0,-9.0,267,4,16
91640,12,72,0.69,-14.45,-10.0,-9.0,333,12,12
91640,12,73,7.86,-14.0,8.0,-6.0,269,8,12
91640,12,74,-7.71,-12.28,-10.0,-9.0,305,4,12
91640,12,75,1.88,-10.67,-10.0,-9.0,352,12,12
91640,12,76,5.59,-9.19,8.0,-6.0,233,4,12
91640,12,77,-6.63,-15.76,-8.0,-12.0,290,4,12
91640,13,78,-5.93,-4.27,-8.0,-12.0,75,8,12
91640,13,79,-1.13,-13.5,10.0,-9.0,202,12,12
91640,13,80,2.0,-8.86,10.0,-9.0,179,8,12
91640,13,81,-5.19,-15.39,-10.0,-9.0,307,8,12
91640,13,82,-1.46,-4.61,8.0,-12.0,142,12,12
91640,13,83,0.02,-11.44,8.0,-12.0,176,8,12
91640,14,84,-5.93,-4.27,-8.0,-12.0,75,8,16
91640,14,85,-1.13,-13.5,10.0,-9.0,202,12,16
91640,14,86,2.0,-8.86,10.0,-9.0,179,8,16
91640,14,87,-5.19,-15.39,-10.0,-9.0,307,8,16
91640,14,88,-1.46,-4.61,8.0,-12.0,142,12,16
91640,14,89,0.02,-11.44,8.0,-12.0,176,8,16
91640,15,90,-5.93,-4.27,-8.0,-12.0,75,8,8
91640,15,91,-1.13,-13.5,10.0,-9.0,202,12,8
91640,15,92,2.0,-8.86,10.0,-9.0,179,8,8
91640,15,93,-5.19,-15.39,-10.0,-9.0,307,8,8
91640,15,94,-1.46,-4.61,8.0,-12.0,142,12,8
91640,15,95,0.02,-11.44,8.0,-12.0,176,8,8
91640,16,96,6.12,-16.0,10.0,-9.0,241,8,8
91640,16,97,0.03,-14.92,-8.0,-6.0,312,12,8
91640,16,98,-2.05,-11.35,-8.0,-6.0,318,8,8
91640,16,99,5.88,-15.86,10.0,-9.0,239,8,8
91640,16,100,1.29,-7.64,8.0,-12.0,147,8,8
91640,16,101,-3.2,-7.7,8.0,-12.0,159,12,8
91640,17,102,3.97,-12.84,-8.0,-12.0,356,12,12
91640,17,103,2.15,-6.54,8.0,-12.0,137,8,12
91640,17,104,7.72,-15.99,8.0,-12.0,266,4,12
91640,17,105,-4.2,-7.24,-8.0,-6.0,342,4,12
91640,17,106,-3.7,-4.07,-10.0,-9.0,38,8,12
91640,17,107,4.27,-7.43,8.0,-6.0,201,4,12
91640,18,108,-0.95,-15.71,-8.0,-6.0,306,12,12
91640,18,109,-3.91,-7.46,8.0,-6.0,187,12,12
91640,18,110,4.01,-12.28,8.0,-12.0,184,4,12
91640,18,111,1.99,-8.58,-10.0,-9.0,2,12,12
91640,18,112,-1.06,-13.87,8.0,-6.0,221,12,12
91640,18,113,3.88,-12.86,8.0,-6.0,239,8,12
91640,19,114,6.25,-8.4,8.0,-12.0,116,4,12
91640,19,115,-3.59,-15.11,8.0,-12.0,195,12,12
91640,19,116,-0.79,-14.26,10.0,-9.0,206,12,12
91640,19,117,-6.01,-9.28,-10.0,-9.0,356,4,12
91640,19,118,-9.8,-13.79,-8.0,-6.0,257,8,12
91640,19,119,-0.78,-14.18,8.0,-6.0,223,12,12
91640,20,120,1.71,-13.05,-8.0,-6.0,324,12,8
91640,20,121,-6.5,-8.29,-8.0,-12.0,68,4,8
91640,20,122,3.48,-15.51,-8.0,-12.0,343,12,8
91640,20,123,-2.44,-11.75,-8.0,-6.0,314,8,8
91640,20,124,-1.2,-13.3,10.0,-9.0,201,12,8
91640,20,125,9.79,-12.99,10.0,-9.0,267,4,8
91640,21,126,10.14,-13.0,10.0,-9.0,272,4,16
91640,21,127,-5.12,-8.78,-8.0,-6.0,316,4,16
91640,21,128,-4.68,-14.24,-8.0,-12.0,326,4,16
91640,21,129,-8.97,-4.06,-8.0,-12.0,97,8,16
91640,21,130,0.81,-9.51,8.0,-6.0,206,8,16
91640,21,131,-4.05,-6.63,-8.0,-6.0,351,4,16
91640,22,132,3.97,-12.84,-8.0,-12.0,356,12,16
91640,22,133,2.15,-6.54,8.0,-12.0,137,8,16
91640,22,134,7.72,-15.99,8.0,-12.0,266,4,16
91640,22,135,-4.2,-7.24,-8.0,-6.0,342,4,16
91640,22,136,-3.7,-4.07,-10.0,-9.0,38,8,16
91640,22,137,4.27,-7.43,8.0,-6.0,201,4,16
91640,23,138,0.69,-14.45,-10.0,-9.0,333,12,8
91640,23,139,7.86,-14.0,8.0,-6.0,269,8,8
91640,23,140,-7.71,-12.28,-10.0,-9.0,305,4,8
91640,23,141,1.88,-10.67,-10.0,-9.0,352,12,8
91640,23,142,5.59,-9.19,8.0,-6.0,233,4,8
91640,23,143,-6.63,-15.76,-8.0,-12.0,290,4,8
91640,24,144,0.69,-14.45,-10.0,-9.0,333,12,16
91640,24,145,7.86,-14.0,8.0,-6.0,269,8,16
91640,24,146,-7.71,-12.28,-10.0,-9.0,305,4,16
91640,24,147,1.88,-10.67,-10.0,-9.0,352,12,16
91640,24,148,5.59,-9.19,8.0,-6.0,233,4,16
91640,24,149,-6.63,-15.76,-8.0,-12.0,290,4,16
91640,25,150,10.14,-13.0,10.0,-9.0,272,4,12
91640,25,151,-5.12,-8.78,-8.0,-6.0,316,4,12
91640,25,152,-4.68,-14.24,-8.0,-12.0,326,4,12
91640,25,153,-8.97,-4.06,-8.0,-12.0,97,8,12
91640,25,154,0.81,-9.51,8.0,-6.0,206,8,12
91640,25,155,-4.05,-6.63,-8.0,-6.0,351,4,12
91640,26,156,1.71,-13.05,-8.0,-6.0,324,12,12
91640,26,157,-6.5,-8.29,-8.0,-12.0,68,4,12
91640,26,158,3.48,-15.51,-8.0,-12.0,343,12,12
91640,26,159,-2.44,-11.75,-8.0,-6.0,314,8,12
91640,26,160,-1.2,-13.3,10.0,-9.0,201,12,12
91640,26,161,9.79,-12.99,10.0,-9.0,267,4,12
